iteration;fitness;location_x;location_y
0;-876.6849;355.9897;506.0344
1;-876.6849;355.9897;506.0344
2;-877.3904;341.5711;501.0130
3;-881.1520;342.2234;493.1020
4;-881.9864;346.2129;503.4840
5;-882.9431;352.1486;504.8972
6;-885.8416;348.8907;503.2229
7;-887.8248;345.4582;499.7946
8;-888.8649;346.6140;499.1908
9;-888.9069;347.7889;499.4861
10;-888.9198;347.7695;499.6408
11;-888.9198;347.7695;499.6408
12;-888.9443;347.5019;499.5374
13;-888.9443;347.5019;499.5374
14;-888.9443;347.5019;499.5374
15;-888.9443;347.5019;499.5374
16;-888.9443;347.5019;499.5374
17;-888.9443;347.5019;499.5374
18;-888.9443;347.5019;499.5374
19;-888.9452;347.3369;499.5322
20;-888.9467;347.4089;499.5275
21;-888.9467;347.4089;499.5275
22;-888.9467;347.4089;499.5275
23;-888.9467;347.4089;499.5275
24;-888.9467;347.4148;499.5260
25;-888.9467;347.4148;499.5260
26;-888.9467;347.4148;499.5260
27;-888.9467;347.4148;499.5260
28;-888.9475;347.4090;499.5054
29;-888.9478;347.3960;499.4970
30;-888.9484;347.3701;499.4775
31;-888.9487;347.3521;499.4639
32;-888.9488;347.3392;499.4542
33;-888.9488;347.3300;499.4473
34;-888.9489;347.3233;499.4422
35;-888.9489;347.3444;499.4031
36;-888.9489;347.3444;499.4031
37;-888.9489;347.3444;499.4031
38;-888.9489;347.3444;499.4031
39;-888.9490;347.3102;499.3890
40;-888.9491;347.3209;499.4132
41;-888.9491;347.3209;499.4132
42;-888.9491;347.3209;499.4132
43;-888.9491;347.3209;499.4132
44;-888.9491;347.3209;499.4132
45;-888.9491;347.3209;499.4132
46;-888.9491;347.3209;499.4132
47;-888.9491;347.3209;499.4132
48;-888.9491;347.3209;499.4132
49;-888.9491;347.3209;499.4132
