iteration;mean_execution
0;-744.5303154498172
1;-793.2360497058065
2;-817.2735989830763
3;-828.5544834760343
4;-854.6784734169262
5;-856.7677476399042
6;-858.4054663308398
7;-859.2021203684062
8;-862.0250249346961
9;-862.260541125656
10;-865.3720311253526
11;-865.4675804195027
12;-866.7058223128801
13;-866.7734101017861
14;-867.0515314901031
15;-868.0925222124364
16;-868.8485416207334
17;-869.1245563733955
18;-869.671757171219
19;-869.6736873291287
20;-869.7058183306981
21;-869.8008661602944
22;-869.8035769153715
23;-869.8227100943571
24;-869.8508550771742
25;-869.8539377507204
26;-869.8554942030069
27;-869.8555197316318
28;-869.8629207160641
29;-869.8662107541898
30;-869.8669051942945
31;-869.8670019866779
32;-869.8674449414306
33;-869.8674477762186
34;-869.8674503616528
35;-869.8674589461356
36;-869.8688680827333
37;-870.8997880853656
38;-872.279963442915
39;-872.2799705040973
40;-872.2801514677118
41;-872.2801927938065
42;-872.2803543017675
43;-872.2803838016152
44;-872.2946064981221
45;-873.3770167246441
46;-876.1352659055914
47;-877.653701119385
48;-877.6537071022027
49;-877.6537072879698
50;-877.6537073008827
51;-877.848054378344
52;-877.8480544295669
53;-877.9907298296818
54;-878.0665841894457
55;-878.0665842159317
56;-878.0669409984287
57;-878.0669409991588
58;-878.0669792400016
59;-878.0669792419376
60;-878.0669792611752
61;-878.0669792660225
62;-878.0675364902705
63;-878.0704181842902
64;-878.0704181921025
65;-878.0704181921974
66;-878.0704181921974
67;-878.0704700318702
68;-878.0704700327108
69;-878.0704701369514
70;-878.0704701627881
71;-878.0705617600048
72;-878.0705617600048
73;-878.0705617616031
74;-878.0705617678099
75;-878.0705690370858
76;-878.0705690370858
77;-878.0705690463208
78;-878.070569046337
79;-878.070569046337
80;-878.0790498733361
81;-878.0790514431206
82;-878.0790514431206
83;-878.0790514432167
84;-878.0790514432167
85;-878.0790514439993
86;-878.0790514439993
87;-878.0790514439993
88;-878.0790514439993
89;-878.0790514439993
90;-878.0790514439993
91;-878.0790514440835
92;-878.0790514443272
93;-878.0790514443443
94;-878.0790514443443
95;-878.0790514443443
96;-878.0790514443461
97;-878.0790514443461
98;-878.0790514443461
99;-878.0790514443461
